ejercicio,series,repeticiones
abdominales crunch,4,20
fondos libre(paralela),4,10
fondos maquina,4,10
plancha codos,4,40s
press declinado enpolea,4,10
press inclinado con mancuernas,4,12
press plano banco con barra,4,8
push down,4,12
push up,4,10
vuelos en maquina,4,12
