ejercicio,series,repeticiones
dominada,4,al fallo
flexion de codos barra,4,7
halon abierto y cerrado,4,10
martillo polea,4,12
predicador,4,8
remo inclinado barra,4,10
remo maquina bajo,4,12
remo maquina hammer,4,10
remo polea sentado,4,10
