ejercicio,series,repeticiones
abdominal declinado,4,20
abduccion de hombos maquina,4,10
elevacion de piernas,4,20
encogimiento,4,10
flexion de hombro con disco,4,12
oblicuos en maquina,4,10
press arnold,4,8
press hombro con barra,4,12
press hombro con mancuerna,4,12
remo erguido,4,10
